External ID,ID,Display Name,Quantity,Cost,Value
__export__.product_product_16620_e0166593,16620,"RE Coil Spring - Toyota Landcruiser 80, Part # TOY013B",8,8402.53,104551.5914
__export__.product_product_24440_ead1fde9,24440,"Ironman Load Plus Springs (Drum Brake Models Only), Part # LP9",10,8431.92,64007.90104
__export__.product_product_24338_88dc6d01,24338,"Ironman RE Leaf Spring - Nissan Navara D40, Part # NISS041B",9,8467.2,33873.8
__export__.product_product_24340_6ff6f058,24340,"Ironman Rear Leaf Spring - Toyota Landcruiser 79 Series, Part # TOY047B P0912 AL/AC",10,8467.2,33874.8
__export__.product_product_24466_615a3b2b,24466,"Ironman Front Foam Cell Shock Absorbers for Toyota Hilux Revo, Part # 24730FE",2,8470.35,15428.00028
__export__.product_product_24697_07e751ed,24697,"Kit Service C1, Truck, Part# 100554",1,8479.2261,10173.31008
__export__.product_product_27685_da46e3f6,27685,N90 MFL POWERLAST,4,8481.0345,33924.13793
__export__.product_product_18588_c9f0411b,18588,"Stainless Steel Side Steps for Ford Ranger T6, Part # PW00814102",1,8484,1
__export__.product_product_24641_0eec3a6f,24641,"Aluminium Alloy Roll Bar, Part # HD3-VO-K001",26,8503.95,26
__export__.product_product_27368_c7258357,27368,"Isuzu RT-50 D-Max S/Cabin Bed Liner, Part # EBKIDK1109/1120-ESKILK1106/7",226,8579.4001,2969569.079
__export__.product_product_27593_fbf04c96,27593,Maxxis 215/55R17 MAZ 1,4,8620.69,34482.75862
__export__.product_product_24288_b39779fe,24288,"Ironman Dual Battery Kit Loom, Part # DB LOOM",6,8636.46,17276.92
__export__.product_product_24088_d8266e72,24088,Scoop Stretcher,14,8681.24,104174.88
__export__.product_product_25252_34c8b204,25252,"Decoroof 12"" T&G Ceiling Panels, Length - 6.0 Meters Long Packed in 10 Pieces Bundle, Colour - White",19,8700,171000
__export__.product_product_24353_74196c0f,24353,"Ironman Eclipse 5x7 Driving Light & Shooter, Part # ILED5x7",8,8705.8002,69646.40125
__export__.product_product_27329_fa2e75c9,27329,215/55- R17 MAP2,4,8706.89,45600
__export__.product_product_24541_82c73068,24541,Hiace Seats - Regular Luxury (Non-Recliner); Colour - Grey,115,8800,115
__export__.product_product_24291_b9ee78f9,24291,Ironman 12V DUAL/ SINGLE BAT MONITOR PART#IDBM001,23,8830.32,163215.5617
__export__.product_product_24357_643f1f07,24357,"Ironman LED Cosmo Spot Light, Part # ILEDCOSMO",4,8926.2,17854.4
__export__.product_product_18572_277df25e,18572,"OEM Style Rear Step Bumper for Toyota Revo 2016+, Part # PW00534046",9,8952.23,71618.84
__export__.product_product_27364_9dbc093b,27364,"Mahindra Scorpio Double Cabin Bed Liner, Part # ESHHDN0801",84,8971.92,658455.8226
__export__.product_product_24510_93b59362,24510,NS70R (75D26R) BATTERIES,2,9000,16241.37931
__export__.product_product_24421_c5890c4e,24421,Ironman Roof Rack Feet - 125mm,4,9106.29,18214.58
__export__.product_product_24489_ed9fbedc,24489,"Ironman Rear Shock Absorber Foam Cell Pro Comfort for Nissan Navara NP300, Part # 45728FEC",6,9161.01,6
__export__.product_product_24473_941d0cb4,24473,"Ironman Front Foam Cell Pro Shock Absorbers for Landrover Defender, Part # 45080FE",6,9220.73,36884.92
__export__.product_product_24474_61591682,24474,"Ironman Rear Foam Cell Pro Shock Absorber for Toyota Hilux Revo, Part # 45081FE",16,9220.73,18455.46
__export__.product_product_24493_4f537a5a,24493,"Ironman Rear Foam Cell Pro Shock Absorbers for Toyota Landcruiser 100 Series, Part # 45796FE",14,9220.73,138852.0025
__export__.product_product_24479_ec4dcf71,24479,"Ironman Rear Foam Cell Pro Shock Absorbers for Toyota Landcruiser 40,42,45,46,47 Series, Part # 45636FE",7,9220.73,7
__export__.product_product_24483_3f4c1946,24483,"Ironman Front Foam Cell Pro Shock Absorbers for Ford Ranger (1985-2006 Model), Part # 45667FE",12,9229.35,55382.1
__export__.product_product_24587_4aa1f3e4,24587,2000W Inverter to Convert Power from 12V DC to 240V AC with 3 Pin Plug on Output Side,59,9244.8,0
__export__.product_product_24782_2282dee2,24782,"Solenoid Throttle Assy.N, Part# 419081",6,9332,65322.50298
